Vessel_Name,Flag,Callsign,Vessel_Type,AIS_Type,Year_Built,GT,DWT,Size_m
MAERSK LETICIA,Hong Kong,VRJC9,Container Ship,Cargo ship (HAZ-A),2011,89174,89174,300 / 46
MAERSK LABREA,Hong Kong,VRLI9,Container Ship,Cargo ship (HAZ-A),2013,89505,89505,300 / 45
WHITE ROSE,Panama,3EEW7,Bulk Carrier,Unknown,2006,89097,89097,289 / 45
SEAMAX BRIDGEPORT,Hong Kong,VRYO4,Container Ship,Cargo ship,2003,89097,89097,323 / 43
JABAL NAFUSA,Malta,9HA2730,Bulk Carrier,Cargo ship,2011,89510,89510,291 / 45
OCEAN CLARION,Panama,3FOS9,Bulk Carrier,Cargo ship,2009,89603,89603,289 / 45
ORIENT ANGEL,Panama,3ELB,Bulk Carrier,Cargo ship,2007,89603,89603,289 / 45
NEW STAGE,Panama,3E0H6,Bulk Carrier,Cargo ship,2008,89603,89603,289 / 45
MOUNT NEVIS,Liberia,D5IV8,Bulk Carrier,Cargo ship,2005,89651,89651,289 / 45
AQUAVOYAGEURS,Liberia,D5PV7,Bulk Carrier,Cargo ship,2005,89651,89651,289 / 45
LOWLANDS ERICA,Panama,3EJD3,Bulk Carrier,Cargo ship,2007,89603,89603,289 / 45
MOUNT CARMEL,Liberia,D5NP2,Bulk Carrier,Cargo ship,2007,89651,89651,289 / 45
EASTERN GLORY,Panama,H8ZG,Bulk Carrier,Cargo ship,2004,88548,88548,289 / 45
SHIOSAI,Japan,7JYA,Bulk Carrier,Cargo ship,2009,89777,89777,289 / 45
CMA CGM DALILA,France,FLSQ,Container Ship,Cargo ship (HAZ-A),2011,89787,89787,334 / 43
CMA CGM ALMAVIVA,France,FLSU,Container Ship,Cargo ship,2011,89787,89787,334 / 43
CAPE TRADER,Cyprus,5BVW4,Bulk Carrier,Other type,2008,89510,89510,291 / 45
BATTERSEA,Marshall Islands,V7SF3,Bulk Carrier,Cargo ship,2009,89840,89840,291 / 45
BELGRAVIA,Marshall Islands,V7SF4,Bulk Carrier,Cargo ship,2009,89840,89840,291 / 45
GOLDEN SHUI,Marshall Islands,V7RQ5,Bulk Carrier,Cargo ship,2009,89840,89840,289 / 45
MYSTIC,Malta,9HOQ9,Bulk Carrier,Cargo ship,2008,89878,89878,291 / 45
ARCHIMIDIS,Liberia,D5CN5,Container Ship,Cargo ship,2006,89776,89776,318 / 43
